[17:31:36.435780877] Interval 15 -> Attempted: 27, Successful: 0
[17:31:36.437728941] Interval 30 -> Attempted: 4, Successful: 0
[17:31:36.437757884] Interval 60 -> Attempted: 1, Successful: 0
[17:31:36.437773735] Interval 150 -> Attempted: 1, Successful: 0
[17:31:40.218349165] Interval 15 -> Attempted: 27, Successful: 1
[17:31:40.218409632] Interval 30 -> Attempted: 4, Successful: 0
[17:31:40.218431092] Interval 60 -> Attempted: 1, Successful: 0
[17:31:40.218442875] Interval 150 -> Attempted: 1, Successful: 0
[17:31:41.366416081] Interval 15 -> Attempted: 27, Successful: 21
[17:31:41.366447995] Interval 30 -> Attempted: 4, Successful: 0
[17:31:41.366476167] Interval 60 -> Attempted: 1, Successful: 0
[17:31:41.366494638] Interval 150 -> Attempted: 1, Successful: 0
[17:31:41.890855049] Interval 15 -> Attempted: 27, Successful: 16
[17:31:41.890884539] Interval 30 -> Attempted: 4, Successful: 0
[17:31:41.890894228] Interval 60 -> Attempted: 1, Successful: 0
[17:31:41.890899701] Interval 150 -> Attempted: 0, Successful: 0
[17:31:42.371000980] Interval 15 -> Attempted: 27, Successful: 0
[17:31:42.371025248] Interval 30 -> Attempted: 4, Successful: 0
[17:31:42.371032863] Interval 60 -> Attempted: 1, Successful: 0
[17:31:42.371036938] Interval 150 -> Attempted: 0, Successful: 0
[17:31:42.646841890] Interval 15 -> Attempted: 27, Successful: 0
[17:31:42.646867710] Interval 30 -> Attempted: 4, Successful: 0
[17:31:42.646874490] Interval 60 -> Attempted: 1, Successful: 0
[17:31:42.646878716] Interval 150 -> Attempted: 0, Successful: 0
[17:31:42.892069023] Interval 15 -> Attempted: 27, Successful: 0
[17:31:42.892091044] Interval 30 -> Attempted: 4, Successful: 0
[17:31:42.892097767] Interval 60 -> Attempted: 1, Successful: 0
[17:31:42.892101995] Interval 150 -> Attempted: 0, Successful: 0
[17:31:43.128441704] Interval 15 -> Attempted: 27, Successful: 0
[17:31:43.128482489] Interval 30 -> Attempted: 4, Successful: 0
[17:31:43.128494093] Interval 60 -> Attempted: 1, Successful: 0
[17:31:43.128499842] Interval 150 -> Attempted: 0, Successful: 0
[17:31:43.365899469] Interval 15 -> Attempted: 27, Successful: 0
[17:31:43.365922747] Interval 30 -> Attempted: 4, Successful: 0
[17:31:43.365928972] Interval 60 -> Attempted: 1, Successful: 0
[17:31:43.365933372] Interval 150 -> Attempted: 0, Successful: 0
[17:31:43.596052581] Interval 15 -> Attempted: 27, Successful: 0
[17:31:43.596075168] Interval 30 -> Attempted: 4, Successful: 0
[17:31:43.596081474] Interval 60 -> Attempted: 1, Successful: 0
[17:31:43.596085283] Interval 150 -> Attempted: 0, Successful: 0
[17:31:43.813263510] Interval 15 -> Attempted: 27, Successful: 0
[17:31:43.813283728] Interval 30 -> Attempted: 4, Successful: 0
[17:31:43.818463675] Interval 60 -> Attempted: 1, Successful: 1
[17:31:43.818490034] Interval 150 -> Attempted: 0, Successful: 0
[17:31:44.013081516] Interval 15 -> Attempted: 27, Successful: 11
[17:31:44.013102691] Interval 30 -> Attempted: 4, Successful: 0
[17:31:44.014135164] Interval 60 -> Attempted: 1, Successful: 1
[17:31:44.014153322] Interval 150 -> Attempted: 0, Successful: 0
[17:31:44.216819445] Interval 15 -> Attempted: 27, Successful: 2
[17:31:44.216843068] Interval 30 -> Attempted: 4, Successful: 0
[17:31:44.218071924] Interval 60 -> Attempted: 1, Successful: 1
[17:31:44.218093194] Interval 150 -> Attempted: 0, Successful: 0
[17:31:44.434331292] Interval 15 -> Attempted: 27, Successful: 0
[17:31:44.434362744] Interval 30 -> Attempted: 4, Successful: 0
[17:31:44.435492683] Interval 60 -> Attempted: 1, Successful: 1
[17:31:44.435511173] Interval 150 -> Attempted: 0, Successful: 0
